"","ID","time","nobs"
"584",476,9,2
"585",477,9,2
"586",477,9,2
"587",478,9,10
"588",479,9,10
"589",480,9,10
"590",481,10,10
"591",482,10,10
"592",483,10,10
"593",484,10,6
"594",485,10,6
"595",486,10,6
"596",487,10,3
"597",488,10,3
"598",489,10,3
"599",490,10,6
"600",491,10,6
"601",492,10,6
"602",493,10,2
"603",494,10,2
"604",495,10,2
"605",496,10,10
"606",497,10,10
"607",498,12,9
"608",499,12,9
"609",500,12,9
"610",501,12,9
"611",502,12,9
"612",502,12,9
"613",503,12,9
"614",503,12,9
"615",504,12,10
"616",505,12,10
"617",505,12,10
"618",506,12,9
"619",507,12,7
"620",508,12,7
"621",508,12,7
"622",509,12,7
"623",509,12,7
"624",510,12,8
"625",511,12,8
"626",511,12,8
"627",512,12,8
"628",512,12,8
"629",513,12,8
"630",513,12,8
"631",514,10,10
"632",514,10,10
"633",515,12,4
"634",516,12,4
"635",517,12,4
"636",518,12,4
"637",518,12,4
"638",519,12,4
"639",520,12,6
"640",521,12,6
"641",522,12,2
"642",523,12,2
"643",524,12,2
"644",524,12,2
"645",525,12,9
"646",526,12,9
"647",526,12,9
"648",527,12,9
"649",527,12,9
"650",528,12,6
"651",528,12,6
"652",529,12,4
"653",529,12,4
"654",530,14,3
"655",531,14,3
"656",531,14,3
"657",532,14,3
"658",532,14,3
"659",533,8,6
"660",533,8,6
"661",534,8,6
"662",535,8,6
"663",536,8,8
"664",537,8,8
"665",538,8,2
"666",538,8,2
"667",539,8,10
"668",540,8,3
"669",541,8,9
"670",542,8,9
"671",542,8,9
"672",543,8,9
"673",543,8,9
"674",544,14,3
"675",545,14,3
"676",545,14,3
"677",546,14,3
"678",553,15,2
"679",554,15,2
"680",555,15,2
"681",555,15,2
"682",556,15,2
"683",557,15,2
"684",558,15,2
"685",559,15,10
"686",560,15,10
"687",560,15,10
"688",561,15,10
"689",562,15,10
"690",563,15,10
"691",564,15,10
"692",565,14,7
"693",566,14,7
"694",567,14,7
"695",567,14,7
"696",567,14,7
"697",568,14,7
"698",568,14,7
"699",568,14,7
"700",569,14,7
"701",569,14,7
"702",570,14,7
"703",570,14,7
"704",570,14,7
"705",571,14,7
"706",572,14,7
"707",572,14,7
"708",573,14,7
"709",574,14,3
"710",575,14,3
"711",575,14,3
"712",578,14,6
"713",579,14,6
"714",579,14,6
"715",580,12,6
"716",581,14,6
"717",581,14,6
"718",582,14,6
"719",582,14,6
"720",583,14,6
"721",584,14,8
"722",585,14,8
"723",586,14,8
"724",586,14,8
"725",587,14,9
"726",588,14,9
"727",589,14,9
"728",590,14,9
"729",591,14,9
"730",592,14,9
"731",593,15,9
"732",593,15,9
"733",593,15,9
"734",594,15,9
"735",595,15,9
"736",595,15,9
"737",596,15,9
"738",597,15,9
"739",598,15,9
"740",599,15,10
"741",600,15,10
"742",600,15,10
"743",600,15,10
"744",601,15,10
"745",601,15,10
"746",601,15,10
"747",602,15,7
"748",602,15,7
"749",603,15,7
"750",604,15,7
"751",605,15,7
"752",606,15,6
"753",606,15,6
"754",607,15,6
"755",607,15,6
"756",608,15,6
"757",609,15,3
"758",610,15,3
"759",610,15,3
"760",611,15,3
"761",612,15,5
"762",613,15,5
"763",614,15,5
"764",615,15,5
"765",616,15,5
"766",618,15,9
"767",619,15,9
"768",620,15,9
"769",621,15,3
"770",622,15,3
"771",622,15,3
"772",623,15,3
"773",624,15,3
"774",624,15,3
"775",625,15,3
"776",625,15,3
"777",626,15,3
"778",627,17,3
"779",628,17,3
"780",629,17,3
"781",629,17,3
"782",630,17,3
"783",631,17,3
"784",632,17,3
"785",633,17,3
"786",633,17,3
"787",634,17,3
"788",634,17,3
"789",635,17,3
"790",636,17,2
"791",637,17,2
"792",638,17,2
"793",639,17,6
"794",639,17,6
"795",640,17,6
"796",641,17,6
"797",642,17,6
"798",642,17,6
"799",643,17,6
"800",643,17,6
"801",644,17,6
"802",645,17,2
"803",646,17,2
"804",647,17,2
"805",647,17,2
"806",648,17,2
"807",649,17,2
"808",651,17,9
"809",651,17,9
"810",652,17,9
"811",653,17,9
"812",654,17,5
"813",655,17,5
"814",657,17,5
"815",657,17,5
"816",659,17,5
"817",660,13,9
"818",661,13,9
"819",662,13,9
"820",663,13,9
"821",664,13,9
"822",665,13,4
"823",667,13,4
"824",668,13,4
"825",669,13,4
"826",670,13,4
"827",671,13,10
"828",672,13,10
"829",673,13,10
"830",674,13,10
"831",675,13,10
"832",676,13,10
"833",676,13,10
"834",677,13,7
"835",677,13,7
"836",677,13,7
"837",678,13,7
"838",679,13,7
"839",679,13,7
"840",680,13,7
"841",682,13,7
"842",682,13,7
"843",683,13,6
"844",684,13,6
"845",685,13,6
"846",686,13,6
"847",686,13,6
"848",687,13,9
"849",688,13,9
"850",689,13,9
"851",690,13,3
"852",691,13,3
"853",691,13,3
"854",691,13,3
"855",692,13,3
"856",693,13,6
"857",693,13,6
"858",694,13,6
"859",695,13,6
"860",696,13,6
"861",696,13,6
"862",697,13,6
"863",698,13,6
"864",699,13,9
"865",700,9,9
"866",701,10,9
"867",701,10,9
"868",702,9,9
"869",704,10,10
"870",705,8,10
"871",706,8,10
"872",707,9,9
"873",708,9,2
"874",709,9,2
"875",709,9,2
"876",710,9,10
"877",711,9,10
"878",712,9,10
"879",713,10,10
"880",714,10,10
"881",715,10,10
"882",716,10,6
"883",717,10,6
"884",718,10,6
"885",719,10,3
"886",720,10,3
"887",721,10,3
"888",722,10,6
"889",723,10,6
"890",724,10,6
"891",725,10,2
"892",726,10,2
"893",727,10,2
"894",728,10,10
"895",729,10,10
"896",730,12,9
"897",731,12,9
"898",732,12,9
"899",733,12,9
"900",734,12,9
"901",734,12,9
"902",735,12,9
"903",735,12,9
"904",736,12,10
"905",737,12,10
"906",737,12,10
"907",738,12,9
"908",739,12,7
"909",740,12,7
"910",740,12,7
"911",741,12,7
"912",741,12,7
"913",742,12,8
"914",743,12,8
"915",743,12,8
"916",744,12,8
"917",744,12,8
"918",745,12,8
"919",745,12,8
"920",746,10,10
"921",746,10,10
"922",747,12,4
"923",748,12,4
"924",749,12,4
"925",750,12,4
"926",750,12,4
"927",751,12,4
"928",752,12,6
"929",753,12,6
"930",754,12,2
"931",755,12,2
"932",756,12,2
"933",756,12,2
"934",757,12,9
"935",758,12,9
"936",758,12,9
"937",759,12,9
"938",759,12,9
"939",760,12,6
"940",760,12,6
"941",761,12,4
"942",761,12,4
"943",762,14,3
"944",763,14,3
"945",763,14,3
"946",764,14,3
"947",764,14,3
"948",765,8,6
"949",765,8,6
"950",766,8,6
"951",767,8,6
"952",768,8,8
"953",769,8,8
"954",770,8,2
"955",770,8,2
"956",771,8,10
"957",772,8,3
"958",773,8,9
"959",774,8,9
"960",774,8,9
"961",775,8,9
"962",775,8,9
"963",776,14,3
"964",777,14,3
"965",777,14,3
"966",778,14,3
"967",785,15,2
"968",786,15,2
"969",787,15,2
"970",787,15,2
"971",788,15,2
"972",789,15,2
"973",790,15,2
"974",791,15,10
"975",792,15,10
"976",792,15,10
"977",793,15,10
"978",794,15,10
"979",795,15,10
"980",796,15,10
"981",797,14,7
"982",798,14,7
"983",799,14,7
"984",799,14,7
"985",799,14,7
"986",800,14,7
"987",800,14,7
"988",800,14,7
"989",801,14,7
"990",801,14,7
"991",802,14,7
"992",802,14,7
"993",802,14,7
"994",803,14,7
"995",804,14,7
"996",804,14,7
"997",805,14,7
"998",806,14,3
"999",807,14,3
"1000",807,14,3
"1001",810,14,6
"1002",811,14,6
"1003",811,14,6
"1004",812,12,6
"1005",813,14,6
"1006",813,14,6
"1007",814,14,6
"1008",814,14,6
"1009",815,14,6
"1010",816,14,8
"1011",817,14,8
"1012",818,14,8
"1013",818,14,8
"1014",819,14,9
"1015",820,14,9
"1016",821,14,9
"1017",822,14,9
"1018",823,14,9
"1019",824,14,9
"1020",825,15,9
"1021",825,15,9
"1022",825,15,9
"1023",826,15,9
"1024",827,15,9
"1025",827,15,9
"1026",828,15,9
"1027",829,15,9
"1028",830,15,9
"1029",831,15,10
"1030",832,15,10
"1031",832,15,10
"1032",832,15,10
"1033",833,15,10
"1034",833,15,10
"1035",833,15,10
"1036",834,15,7
"1037",834,15,7
"1038",835,15,7
"1039",836,15,7
"1040",837,15,7
"1041",838,15,6
"1042",838,15,6
"1043",839,15,6
"1044",839,15,6
"1045",840,15,6
"1046",841,15,3
"1047",842,15,3
"1048",842,15,3
"1049",843,15,3
"1050",844,15,5
"1051",845,15,5
"1052",846,15,5
"1053",847,15,5
"1054",848,15,5
"1055",850,15,9
"1056",851,15,9
"1057",852,15,9
"1058",853,15,3
"1059",854,15,3
"1060",854,15,3
"1061",855,15,3
"1062",856,15,3
"1063",856,15,3
"1064",857,15,3
"1065",857,15,3
"1066",858,15,3
"1067",859,17,3
"1068",860,17,3
"1069",861,17,3
"1070",861,17,3
"1071",862,17,3
"1072",863,17,3
"1073",864,17,3
"1074",867,19,7
"1075",868,19,1
"1076",868,19,1
"1077",870,18,6
"1078",870,18,6
"1079",871,18,6
"1080",872,17,3
"1081",872,17,3
"1082",873,17,3
"1083",873,17,3
"1084",874,17,3
"1085",875,17,2
"1086",876,17,2
"1087",877,18,6
"1088",878,18,6
"1089",879,18,4
"1090",880,17,2
"1091",881,17,6
"1092",881,17,6
"1093",882,17,6
"1094",883,17,6
"1095",884,17,6
"1096",884,17,6
"1097",885,17,6
"1098",885,17,6
"1099",886,17,6
"1100",887,17,2
"1101",888,17,2
"1102",889,17,2
"1103",889,17,2
"1104",890,17,2
"1105",891,17,2
"1106",893,17,9
"1107",893,17,9
"1108",894,17,9
"1109",896,18,4
"1110",897,18,2
"1111",898,18,2
"1112",899,19,1
"1113",899,19,1
"1114",900,19,1
"1115",901,19,9
"1116",902,19,9
"1117",903,19,9
"1118",904,19,2
"1119",904,19,2
"1120",905,19,2
"1121",906,19,2
"1122",907,20,2
"1123",908,20,2
"1124",909,19,2
"1125",909,19,2
"1126",910,20,8
"1127",911,20,8
"1128",912,20,10
"1129",913,20,8
"1130",913,20,8
"1131",914,20,10
"1132",914,20,10
"1133",915,20,10
"1134",916,20,10
"1135",917,20,10
"1136",918,20,10
"1137",918,20,10
"1138",919,20,6
"1139",920,20,6
"1140",921,20,6
"1141",921,20,6
"1142",922,20,6
"1143",923,20,6
"1144",923,20,6
"1145",924,20,6
"1146",925,20,2
"1147",925,20,2
"1148",925,20,2
"1149",926,17,9
"1150",927,17,5
"1151",928,17,5
"1152",930,17,5
"1153",930,17,5
"1154",932,17,5
"1155",934,18,2
"1156",935,18,6
"1157",936,18,6
"1158",936,18,6
"1159",937,18,6
"1160",937,18,6
"1161",938,18,4
"1162",939,18,4
"1163",940,18,4
"1164",940,18,4
"1165",941,18,4
"1166",942,18,4
"1167",943,18,4
"1168",943,18,4
"1169",944,18,1
"1170",944,18,1
"1171",944,18,1
"1172",945,18,1
"1173",946,18,1
"1174",947,18,2
"1175",948,18,2
"1176",949,18,2
"1177",949,18,2
"1178",950,18,2
"1179",950,18,2
"1180",950,18,2
"1181",951,18,2
"1182",952,18,2
"1183",952,18,2
"1184",953,18,9
"1185",954,18,9
"1186",954,18,9
"1187",955,18,9
"1188",956,18,9
"1189",957,18,9
"1190",958,18,9
"1191",958,18,9
"1192",959,19,5
"1193",960,19,5
"1194",962,19,5
"1195",963,19,5
"1196",964,19,1
"1197",965,19,5
"1198",966,19,1
"1199",966,19,1
"1200",967,19,1
"1201",968,19,4
"1202",969,19,4
"1203",969,19,4
"1204",970,19,8
"1205",971,19,8
"1206",971,19,8
"1207",972,19,8
"1208",973,18,8
"1209",974,19,4
"1210",975,19,4
"1211",976,19,4
"1212",977,19,4
"1213",977,19,4
"1214",978,19,8
"1215",978,19,8
